epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7346,0.48435,10.1323,0.92617,0.68583,0.6,0.5442,0.48687,0.29316,7.40548,0.78211,4e-05,4e-05,4e-05
2,31.6627,0.48338,9.23414,0.90785,0.57642,0.6,0.54213,0.48551,0.2882,7.2654,0.77752,9.01e-05,9.01e-05,9.01e-05
3,33.6588,0.55212,10.1223,0.99574,0.53441,0.6,0.48277,0.45506,0.29018,7.1837,0.77861,0.00012832,0.00012832,0.00012832
4,35.6249,0.46514,8.63711,0.88674,0.79655,0.78622,0.63925,0.60958,0.3399,4.34748,0.88206,0.00015466,0.00015466,0.00015466
5,37.5099,0.47336,5.36408,0.88346,0.98864,1,0.995,0.995,0.286,3.63492,0.78068,0.00016912,0.00016912,0.00016912
6,39.3154,0.51889,3.94204,0.95466,1,0.99464,0.995,0.94037,0.30583,4.04952,0.79599,0.0001717,0.0001717,0.0001717
7,41.361,0.4056,3.2749,0.81624,0.7123,0.99164,0.83071,0.75316,0.49422,4.74758,0.83509,0.0001624,0.0001624,0.0001624
8,43.0821,0.43063,2.98338,0.82597,0.70877,1,0.71071,0.64292,0.49693,4.57032,0.82317,0.00014122,0.00014122,0.00014122
9,44.9077,0.45721,2.75906,0.89266,0.70776,1,0.71071,0.64246,0.43734,4.21386,0.80413,0.00010816,0.00010816,0.00010816
10,47.1356,0.41286,2.38928,0.82249,0.62047,1,0.761,0.69644,0.41038,3.90326,0.786,6.322e-05,6.322e-05,6.322e-05
